id,nombre,precio,precioCaja,descripcion,folderId,finalArtId,proveedor,codCaja,stockJson,familia,subcategoria,unidad,unidadDetalle,imagen,fecha
23,"Foco LED, TIPO PANEL, COLOR BLANCO, TENSION 220V 36W, REDONDO",140.0,0.0,,1_WGJLhXO3YUhFnyWKJDTjuXeZnVpsLxG,,,,"{""isCatalog"": false}",,,Unidad,,,
24,Grapa de 1' pulgada Marca Kawaguchi (Japón),15.0,0.0,,1_wVmAUPiH1cwPQYRhxnGl8GlWmNxEXka,,,,"{""isCatalog"": false}",,,Unidad,,,
25,"Grapas de pared 3/4"" (caja 100U)",18.0,0.0,,1_y-TSFKJu_xh3HB6eFGSDmZYbU7yYVw6,,,,"{""isCatalog"": false}",,,Unidad,,,
26,Grifo para lavamanos FV,130.0,0.0,,1_yrjSnYOf1Gb8Cr2hIqtdGVTUS-KBAw-,,,,"{""isCatalog"": false}",,,Unidad,,,
27,Regleta toma nema triple marca ultra,45.0,0.0,,1_YU52TUEb6dLVG4wx3lsokx4X4qGZC-N,,,,"{""isCatalog"": false}",,,Unidad,,,
28,CABLE ENCHAQUETADO 2*14,19.0,0.0,,1_Zi6NbWSnmSj7nZqwNvkkPLADf74Lv_y,,,,"{""isCatalog"": false}",,,Unidad,,,
29,Cable electrico tipo cordón N°12,1095.0,0.0,Cable eléctrico tipo cordón N°12,1-1PnNoO9MaqEuSyl2PAfVsbme7M7UFUp,,,,"{""isCatalog"": false}",,,Unidad,,,
30,Tomacorriente triple,50.0,0.0,,1-37MbQCXTRMpHz8v1D5GdEdU-6nouRaQ,,,,"{""isCatalog"": false}",,,Unidad,,,
31,"Cinta Aislante blanco, 19mm x 18metros x 0.18mm",14.0,0.0,,1-57g6iqricaEwbCrYXJ6hAqvLfugHPaX,,,,"{""isCatalog"": false}",,,Unidad,,,
32,FOCO SENSOR DE MOVIMIENTO DE 360°,80.0,0.0,,1-7oJKmuY9UUlIaB4Qy_MeAhMwanveBol,,,,"{""isCatalog"": false}",,,Unidad,,,
33,Cable bipolar #14 tipo cordón,760.0,0.0,Cable bipolar tipo cordón #14 100% cobre,1-81ifuQd7LI91HJIEROSodo0s8Jp_5k1,,,,"{""isCatalog"": false}",,,Unidad,,,
34,Tubo LED T8 9W Luz Fria,20.0,0.0,,1-8y_yCg2CGI0zIE_N02QG_uC2llmQKf1,,,,"{""isCatalog"": false}",,,Unidad,,,
35,Rollo cinta aislante 20Y marca 3M,15.0,0.0,,1-9SwLmLBAUIL8fT1Lv0puGoOx-1AnNCB,,,,"{""isCatalog"": false}",,,Unidad,,,
36,Tubo LED T8 18W Luz Fria,25.0,0.0,,1-aaAs-IstV4U0BjWGq0LktrFl_Ik6j4s,,,,"{""isCatalog"": false}",,,Unidad,,,
37,Cuchilas para estilete (paquete de 10 unidades),16.0,0.0,,1-BStKuRYOyqeu5iboEutYmagfJqQPFsr,,,,"{""isCatalog"": false}",,,Unidad,,,
38,Chicotillo 50 cm,85.0,0.0,,1-CaCYUOgR6WQSr6Q-a_eBeK39ImDxebM,,,,"{""isCatalog"": false}",,,Unidad,,,
39,Chapa para escritorio melamina tipo modelo 4x4 cm D2,82.0,0.0,,1-CIOsRsL9lZM0e2IpU09ccP1d9Slf8AI,,,,"{""isCatalog"": false}",,,Unidad,,,
40,Foco LED botellon 40W,55.0,0.0,,1-E44VyvSxqvTy1L0Rmooso1AXn_cwJJX,,,,"{""isCatalog"": false}",,,Unidad,,,
41,Pintura en spray,15.0,0.0,,1-FEDBC2s7Ra2cR8QrOZsUAS9DOO76O4Q,,,,"{""isCatalog"": false}",,,Unidad,,,
42,"Paneles LED rectangular s/p marco metálico inoxidable 1.20x0.30 M. de 72W Luz cálida/blanca, driver metálico",240.0,0.0,,1-Geb9LXJp-fkfHTIEcfpkxIox2ymsGgv,,,,"{""isCatalog"": false}",,,Unidad,,,
43,Cableductos de piso 25*15,40.0,0.0,,1-it9XmtGCspxid7iUTdY2YujZxwVeOj3,,,,"{""isCatalog"": false}",,,Unidad,,,
44,Buscapolo,30.0,0.0,,1-jjTW5T9BUCvYXFy9zlSLtKoHU1A1LhN,,,,"{""isCatalog"": false}",,,Unidad,,,
45,Tornillos de encarne D 3.5mm de largo,18.0,0.0,,1-l78xCc8Devx3-sKqQDjidRyhSlKdDIg,,,,"{""isCatalog"": false}",,,Unidad,,,
46,Enchufe tipo L 10A,8.0,0.0,,1-mKQOUMYq6EhrvaVSJZ39b75pv4azGOv,,,,"{""isCatalog"": false}",,,Unidad,,,
47,Placa de pared tomacorriente doble nema Mr Three,45.0,0.0,,1-nEpUqX6iW90puxuXWbJEHfjiPnLo2yp,,,,"{""isCatalog"": false}",,,Unidad,,,
48,Juego de tarrajas,0.0,0.0,,1-nmGaiFzjM1fobhOaFaQTKF6ZvxeJXVZ,,,,"{""isCatalog"": false}",,,Unidad,,,
49,Cablecanal 20x10 con adhesivo de 2Mts,12.0,0.0,,1-qMZT5AW7dJott0RfCQqRK5X9CIvbrfk,,,,"{""isCatalog"": false}",,,Unidad,,,
50,Clavijas redondas,7.0,0.0,,1-uej1yn51ra4Ah-bj-BDjEvAUv89NCga,,,,"{""isCatalog"": false}",,,Unidad,,,
51,Tubo LED 1.2m calido,16.0,0.0,,1-UQKJGX9EIkWgUyaApoC3Xrt2As7vsSP,,,,"{""isCatalog"": false}",,,Unidad,,,
52,Pasacable de 10 metros,75.0,0.0,,1-wT8pqss5dDimyL8OmXotFLZHzgQuPnM,,,,"{""isCatalog"": false}",,,Unidad,,,
53,"Reflector Led RGB de 50W, IP 66, 4500lm, 50,000h de vida, Autovolt AC85-265V",220.0,0.0,,1045N-IhzjTfeoI-Qd0Yxq1DrnO8wjwnE,,,,"{""isCatalog"": false}",,,Unidad,,,
54,Tubo LED 0.6m 9W,16.0,0.0,,104u9UBFuKn4GPdgbZ7KrEocszGDqhJCD,,,,"{""isCatalog"": false}",,,Unidad,,,
55,Panel LED 24w sobrepuesto,55.0,0.0,,104WXxeuOvf_rZFLsDk0VX7BxHlReVPvB,,,,"{""isCatalog"": false}",Iluminación,Paneles LED,Unidad,,,
56,Cable cordón doble Nro 14,200.0,0.0,,106I_38KX3HmxOcDHc5w6_vn5MduB6bXt,,,,"{""isCatalog"": false}",,,Unidad,,,
57,Tomacorriente doble marca Mr Three,28.0,0.0,,10A2eKnp22zlcoI_oeohNEfOVqNevwZNl,,,,"{""isCatalog"": false}",,,Unidad,,,
58,Placa tomacorriente nema doble,35.0,0.0,,10aCn3F-q1s7el37JyB3GWImMzhXdkgm6,,,,"{""isCatalog"": false}",,,Unidad,,,
59,Cable HDMI de 10 metros,180.0,0.0,,10ADRcYGpLftr3K1xO6NviE12T6FrBY89,,,,"{""isCatalog"": false}",,,Unidad,,,
60,Cable VGA,28.0,0.0,,10b6grcJKTJSC9l70RXw7uDO0-aWQfXZ6,,,,"{""isCatalog"": false}",,,Unidad,,,
61,Caja sobrepuesta,10.0,0.0,,10CG3-fVQJXOWGz2o0U7i93Ocxh27igxJ,,,,"{""isCatalog"": false}",,,Unidad,,,
62,"Tubo LED ahumado de 9W, luz blanca",15.0,0.0,,10D63jAk2MW8_e4J0dBhTJGjo9O73CjVa,,,,"{""isCatalog"": false}",,,Unidad,,,
63,Lija #120 (metro),23.0,0.0,,10Dmgi373o93bXvDSAFnRnEYVEQtnNEtq,,,,"{""isCatalog"": false}",,,Unidad,,,
64,Reflector de 500W,80.0,0.0,Reflector halógeno de 500W/ negro/ con halógeno Philips,10fetUU0wCLaBq8XMwlDbCMHMToz5GVwn,,,,"{""isCatalog"": false}",,,Unidad,,,
65,Sensor de movimiento 360°,165.0,0.0,,10FJkTlEDNirHtYQo-CVdHskQrStQXh23,,,,"{""isCatalog"": false}",,,Unidad,,,
66,Tomacorriente 2T 15A Star Nema,35.0,0.0,,10g2wkDZbKYxur-T8_dzjsBrjLQkGEeLx,,,,"{""isCatalog"": false}",,,Unidad,,,
67,"Pinza metálica para pelar cable de calibre 22, 20, 18, 16, 14, 12, 10 y 8 AWG, con mecanismo automático y tope para dimensionar la cantidad de cable",190.0,0.0,,10gczyIssa7zGbNpA80G1d3Od7nvpo26a,,,,"{""isCatalog"": false}",,,Unidad,,,
68,Linterna Frontal LED,125.0,0.0,,10HP9UW9hVu9rpvYGFUOebr2CNUYIEaw1,,,,"{""isCatalog"": false}",,,Unidad,,,
69,Tomacorriente doble nema Tramontina Blanco,25.0,0.0,,10HwgoD9Z4Qk8YQPbOcPx0fTT9kY-C6ra,,,,"{""isCatalog"": false}",,,Unidad,,,
70,Termico bipolar 2*63A,45.0,0.0,,10irmsIp1s8a8JN41hB_fK4AJvV_PRW8z,,,,"{""isCatalog"": false}",,,Unidad,,,
71,Placa interruptor simple,18.0,0.0,,10IV30aCdPnBnPc8f-qKfuv9Eq9X5M-YI,,,,"{""isCatalog"": false}",,,Unidad,,,
72,Caja T12 para 6 térmicos bipolares,120.0,0.0,,10jAEdjbdNjju0bk-9z7pXGoq_siojoK2,,,,"{""isCatalog"": false}",,,Unidad,,,
73,Cablecanal 20mm*10mm con adhesivo,10.0,0.0,,10KXAKiuIz6zsrA4tup2e2x7l7NxP-Eu_,,,,"{""isCatalog"": false}",,,Unidad,,,
74,Soquet tipo plato,6.0,0.0,,10m5Md53esJyDdC-vSZydQtgPaWoow_x6,,,,"{""isCatalog"": false}",,,Unidad,,,
75,Soquet para colgar de porcelana,7.0,0.0,,10mk9TWGtPj-6CpXrslMdfr53GWiD1eF9,,,,"{""isCatalog"": false}",,,Unidad,,,
76,Foco LED 20W,25.0,0.0,,10MKuz-joDXnmBWmCFlTpu3X8le-cgcHt,,,,"{""isCatalog"": false}",,,Unidad,,,
77,Porta silicona de metal,45.0,0.0,,10o12CI93jg1N4ddBJ1vyk6ZTz9qnQStZ,,,,"{""isCatalog"": false}",,,Unidad,,,
78,Cable multifilar Verde 4mm2 (rollo de 100 metros),698.0,0.0,,10oR_qonsQjTHUYxlSVq1l0fl0ZTzDTwR,,,,"{""isCatalog"": false}",,,Unidad,,,
79,Tomacorriente doble nema,35.0,0.0,,10PXqRK3ZZSfshpSgBnWu7K03kBOflChI,,,,"{""isCatalog"": false}",,,Unidad,,,
80,Alambre de amarre rollo 5kg,18.0,0.0,,10q-XCAXUh-eDxtDtiXsl7PyVBCMPYcKS,,,,"{""isCatalog"": false}",,,Unidad,,,
81,Placa tomacorriente doble de pared de Aluminio,25.0,0.0,,10rCuowJRqFI0_c5B83H0O10oVVkb8yIe,,,,"{""isCatalog"": false}",,,Unidad,,,
82,Panel LED 18W sobrepuesto,55.0,0.0,,10S-bcI4x8OEXf67Zn4horLVu3K_E1sFw,,,,"{""isCatalog"": false}",,,Unidad,,,
83,Panel LED sobrepuesto 24W,55.0,0.0,,10TenWp8mZXO4YgDdM9NHCLCETzB1w7UF,,,,"{""isCatalog"": false}",,,Unidad,,,
84,Foco empotrables,35.0,0.0,,10TG76ecNg0C7yCVyomjUBaR5cj2jacNj,,,,"{""isCatalog"": false}",,,Unidad,,,
85,Chapa de puerta metalica de manivela marca Papaiz,250.0,0.0,,10uclvYIOCqUxcxUqVB41ti1-GJ7nYoIi,,,,"{""isCatalog"": false}",,,Unidad,,,
86,"Brocha de 3""",25.0,0.0,,10UPWyHrmqYxSrkSoX0ioq3nbwo_d7feq,,,,"{""isCatalog"": false}",,,Unidad,,,
87,Prenss (TIPO F) de 60 cm metálico para carpintería KAMASA,0.0,0.0,,10V9s5wzIkfJfqFMusDSwaoCHtpNIOMZA,,,,"{""isCatalog"": false}",,,Unidad,,,
88,"Cinta Aislante de 20Yds 19mm, 3/4""",14.0,0.0,,10vyZDibQyWkrLdm5m_n4yqsTmcCwm7i3,,,,"{""isCatalog"": false}",,,Unidad,,,
89,Capuchones para conectores,2.0,0.0,,10WfodP7XVERlcE8MrwXuJGlirn1MdMFP,,,,"{""isCatalog"": false}",,,Unidad,,,
90,Alargador de corriente de 10 metros integrado marca ULTRA engomado,85.0,0.0,Al,10wVY8l8MLoAF-8LfOW0mHF1GpExpLlrx,,,,"{""isCatalog"": false}",,,Unidad,,,
91,Alargador de corriente de cable engomado de 20 MT 3 tomas,50.0,0.0,,11_uxEOBRNq2sGHRHh01x3HJkcY5itgpa,,,,"{""isCatalog"": false}",,,Unidad,,,
92,REGLETA CORTA PICOS DE 6 TOMAS CON CABLE DE 3 METROS                                    Capacidad: 2200W                                           Voltaje: 110V/220V                                     Tipo de entrada: NEMA                                ,85.0,0.0,,1127i7Kl-bTec8sBG0ZuJAM0blR53m858,,,,"{""isCatalog"": false}",,,Unidad,,,
93,Grifo de Lavaplatos Habitad,150.0,0.0,,115KbphmFIjyfbYdlljkXSGdasZlDv6dT,,,,"{""isCatalog"": false}",,,Unidad,,,
94,Terminales / conectore para dicroicos,10.0,0.0,,116qKxyYWZGcAOEqezd_8jOwt_LpR27SU,,,,"{""isCatalog"": false}",,,Unidad,,,
95,Tornillo c/Plana 1.5 (caja 1000U),198.0,0.0,,11BZ9egnL-Ud3PxOh4PkA_1VOTyP_RO7-,,,,"{""isCatalog"": false}",,,Unidad,,,
96,Reflector LED 600w,1850.0,0.0,,11DYYgYAtUUjEOhelJEbvci3yoYkczXSB,,,,"{""isCatalog"": false}",,,Unidad,,,
97,"Juego de Alicates de 1000V, 3 piezas. Alicate universal, de corte y punta",218.0,0.0,,11e4D_zK8BfMjgC3WYsKbcIjfNjynzb2Q,,,,"{""isCatalog"": false}",,,Unidad,,,
98,Foco LED redonde 22W,32.0,0.0,,11eXrsBpY9sXyZ6ZLLB_BqFua3J5U2GcE,,,,"{""isCatalog"": false}",,,Unidad,,,
99,Bolsa ramplu #7 (1000 pzas),80.0,0.0,,11h4XnsFbHwyMzQDF2m6N9lTA0WR_Z4Yk,,,,"{""isCatalog"": false}",,,Unidad,,,
100,Cable cordón N°12 (rollo de 100 metros),1800.0,0.0,,11I7wBvnmMYkSOxbaLbBBxqZ5RZl-x78d,,,,"{""isCatalog"": false}",,,Unidad,,,
101,Servicio de cambio de bateria de baño,100.0,0.0,,11LNUEQKIaPqcw6gKm_1hkKtbhzZR3YgJ,,,,"{""isCatalog"": false}",,,Unidad,,,
102,Reflector LED 100W 220V,390.0,0.0,,11M2NcnDx88cMaAD9D5BjUrv6kqE0Ox3u,,,,"{""isCatalog"": false}",,,Unidad,,,
103,Focos LED de 15W,24.0,0.0,,11MoNoRurv_EUG692_7BfLAUR44nqwLug,,,,"{""isCatalog"": false}",,,Unidad,,,
104,Gargador de bateria recargable para bateria de 9V,165.0,0.0,,11TVRn6igIZ-RMP6ZL15Jwa1sTpAn608M,,,,"{""isCatalog"": false}",,,Unidad,,,
105,Poliductos,12.0,0.0,Cableductos 20*10 de 2 metros,11U981hKkDjA5VV8VWUBQfZSBO6N6Wfzj,,,,"{""isCatalog"": false}",,,Unidad,,,
106,Enchufe de 15A tipo L,15.0,0.0,,11VClUO8FRhFyzxEfZp00IVCHY5FwL0hc,,,,"{""isCatalog"": false}",,,Unidad,,,
107,Foco vela E12 Luz cálida LED,28.0,0.0,,11VoCoxcz6O8grNbm22vVLVnBbyuJaQi2,,,,"{""isCatalog"": false}",,,Unidad,,,
108,"Cablecanal 15*10, Marca DIMAX - Industria BRASIL",10.0,0.0,,11wcqQ-SP1qDgsucA7nVdm9Y2ucAQgMsJ,,,,"{""isCatalog"": false}",,,Unidad,,,
109,"CABLE DE CU N°12, 7 HILOS C/NEGRO (ROLLO 100 METROS)",890.0,0.0,,11YDU63Z_t0IbwjhrRYboTPXt3p-Uj_7N,,,,"{""isCatalog"": false}",,,Unidad,,,
110,Chapa de Perilla,0.0,0.0,,1209AoLVka0gJTuzQNrWw5Hvm5n2cCAD6,,,,"{""isCatalog"": false}",,,Unidad,,,
111,Repuesto para halogeno de 400W Rudium,120.0,0.0,,123h0VOY24dni8qu5I5UMMn-WFa5B4wp0,,,,"{""isCatalog"": false}",,,Unidad,,,
112,Tubo para instalación eléctrica PVC 3/4 (barra de 3 metros),10.0,0.0,,12A053XGikOVpkdQrZnFp0AVQpS3zR8mA,,,,"{""isCatalog"": false}",,,Unidad,,,
113,CHAPA DOS GOLPES,655.0,0.0,,12AgdTsqkqqMksmboKvgFIQ25ISx2sJAn,,,,"{""isCatalog"": false}",,,Unidad,,,
114,Cinta aislante 20Y 3M,20.0,0.0,,12AzdfzmI_48nMG9xoU6JXJmcgMag7zUN,,,,"{""isCatalog"": false}",,,Unidad,,,
115,Placa TV,29.0,0.0,,12c6IKpC4zaYt_2Y1OPwLRYWW2hgpUYhZ,,,,"{""isCatalog"": false}",,,Unidad,,,
116,Foco rosca LED 20w,22.0,0.0,,12DnAsqfn2UNOIcullxYLedOS9TxrWJfr,,,,"{""isCatalog"": false}",,,Unidad,,,
117,Clavo para calamina (bolsa),38.0,0.0,,12g_JM9b4N_iiTn7uuhO3cy0IuZVm_B4b,,,,"{""isCatalog"": false}",,,Unidad,,,
118,Soquet,10.0,0.0,,12gdf7nHa30EihqjX7Df8VxhJmPWnsHf3,,,,"{""isCatalog"": false}",,,Unidad,,,
119,"Panel LED, 18 Watts",85.0,0.0,,12GFd9W2ScTbJssEQGZPDAo35zgF11B3u,,,,"{""isCatalog"": false}",,,Unidad,,,
120,CLAVO DE 1/2 (KILO),48.0,0.0,,12GLU9y5h8dxX6dHqo6ETfxYsL-DUOubh,,,,"{""isCatalog"": false}",,,Unidad,,,
121,Enchufe doble de pared marca Mr Three,32.0,0.0,,12Iy3izkTurX-VJUrV5JsDX7NeDoyuLVk,,,,"{""isCatalog"": false}",,,Unidad,,,
122,Chapa para puerta de Aluminio Papaiz,295.0,0.0,,12JGDuKrzRIGkUpDW1k3GyofUP01q7Klg,,,,"{""isCatalog"": false}",,,Unidad,,,
123,Panel LED 60X60 60W,195.0,0.0,,12k8H-cCwEOgsDvEnE7G01uFDZzrJU2VM,,,,"{""isCatalog"": false}",Iluminación,Paneles LED,Unidad,,,
124,Cortapico 6 tomas,65.0,0.0,,12lZeqJzSvANJWzm484zk534W8LEOXUNw,,,,"{""isCatalog"": false}",,,Unidad,,,
125,Bocina grande,240.0,0.0,,12ohBoRuIjr9PiKU-VOIKe9CHdA3VRcVG,,,,"{""isCatalog"": false}",,,Unidad,,,
126,FOCO DE 9W,12.0,0.0,,12P0QooBSIev3ScgkigbBjRD30F5NlI6c,,,,"{""isCatalog"": false}",,,Unidad,,,
127,Tubo Corrugado de 5/8 (metro),4.0,0.0,,12PEISNVPmr74fGw1Y0AD_jyzFEBlkhk2,,,,"{""isCatalog"": false}",,,Unidad,,,
128,Térmico bipolar 63Amp,60.0,0.0,,12pW2NVKDto_QFf4K32PyoEiG-2tT1FrJ,,,,"{""isCatalog"": false}",,,Unidad,,,
129,Escalera Plegable de 5 escalones,650.0,0.0,,12SeeZgezo22bC6gke4ozarBkR1ZU8Jej,,,,"{""isCatalog"": false}",,,Unidad,,,
130,Foco LED tipo Vintage,65.0,0.0,,12SQGDnIvT8-SHxC4yVzKqfjlN4UENqjP,,,,"{""isCatalog"": false}",,,Unidad,,,
131,Luminaria LED de 150W marca EVERLEO,580.0,0.0,,12tgpnWJ4cEw7A3v_p6jBkZScHIyO8sX6,,,,"{""isCatalog"": false}",,,Unidad,,,
132,Panel LED 24W empotrable cuadrado,59.0,0.0,,12WBsI6_BTWLffGl_81mU51mBaYa0ooAg,,,,"{""isCatalog"": false}",,,Unidad,,,
133,Caja rectangular empotrable para placa electrica,3.0,0.0,Caja plástica empotrable para placas electricas int/toma,12WrxaZoQFO2E7VeaIAwLjVkhNJhoQltt,,,,"{""isCatalog"": false}",,,Unidad,,,
134,"Panel LED 18W, cuadrado, luz blanca, sobrepuesto",50.0,0.0,,13-2SItubdkq3it6CGq1X50gkeGmMqHzs,,,,"{""isCatalog"": false}",,,Unidad,,,
135,Pila AA recargable con cable USB,32.0,0.0,,1320F3pWNvj_SWyNgn8A8ZPLvUBEjjQ2V,,,,"{""isCatalog"": false}",,,Unidad,,,
136,PLACA TOMACORRIENTES DE 2 PUERTOS,29.0,0.0,,1320Ia-NGwxokpaTxfqdD6Dm-ASJb3K5q,,,,"{""isCatalog"": false}",,,Unidad,,,
137,"Rollo cordón TL 2*22, AWG",195.0,0.0,,13BYxx3Ic8RbcdiOTO3Hytwt0BXwFPDdQ,,,,"{""isCatalog"": false}",,,Unidad,,,
138,Enchufe clavija plana,8.0,0.0,,13daEm-y5_IpxC4oO9SkD_3dPb2MEUuPf,,,,"{""isCatalog"": false}",Electricidad,Conectores,Unidad,,,
139,Foco LED rosca E27,12.0,0.0,,13E6T30O-EnOzJU46_mVUdMO3Mq9Hdf8M,,,,"{""isCatalog"": false}",,,Unidad,,,
140,Foco LED 18W,23.0,0.0,,13f7H8BkehBSz2IOjp12IcwYBhFWR_d4z,,,,"{""isCatalog"": false}",,,Unidad,,,
141,Foco LED de 15WATT,25.0,0.0,,13fL9NX4j3LAM_xl1cZZscLBXW5xtNm0G,,,,"{""isCatalog"": false}",,,Unidad,,,
142,Panel LED 60x60 de 60W sobrepuesto luz blanca,290.0,0.0,,13giMpfgCSd1C6ApBF4wjDGG3-uV-qM20,,,,"{""isCatalog"": false}",,,Unidad,,,
143,Panel 18W sobrepuesto 20.5 cm luz blanca,55.0,0.0,,13hdL3MnPyPtO7BKRGqS09BaERJoqvDbC,,,,"{""isCatalog"": false}",,,Unidad,,,
144,Termico 32A,45.0,0.0,,13KicAJ4NTuS0NOVXPtNWRp8bl_6YOXSU,,,,"{""isCatalog"": false}",,,Unidad,,,
145,Chapa de puerta metalica de Perilla marca Papaiz,195.0,0.0,,13Ll6dVjpEtRXF4tWqrkCFITd9XtSuagP,,,,"{""isCatalog"": false}",,,Unidad,,,
146,Reflector de 200W,450.0,0.0,,13LvU4ACZzwPbUtXaNkA4zC59PoYdafqR,,,,"{""isCatalog"": false}",,,Unidad,,,
147,Tubo LED 20W 220 - 120cm,20.0,0.0,,13MC7ebBiAk62ZvI74pv4h5YHPuhUEB_A,,,,"{""isCatalog"": false}",,,Unidad,,,
148,Tomacorriente universal doble,37.0,0.0,,13mMc4Dsx_iPHvUNr9JvIxuEUT3wigGhO,,,,"{""isCatalog"": false}",,,Unidad,,,
149,"Placa tomacorriente doble de pared de aluminio, Mrca UYUSTOOLS, Industria BRASIL",25.0,0.0,,13N9TQCX24MtPQ2uq7vjYLz4iLh3rZ3Jb,,,,"{""isCatalog"": false}",,,Unidad,,,
150,Cableducto para pared 60 x 20 mm alto 2 metros,28.0,0.0,,13NqoTfYLNBeC14dgjRcswBlJemfr6zKo,,,,"{""isCatalog"": false}",,,Unidad,,,
151,TUBO LED 9W X 220V,20.0,0.0,,13oqotKKv0NGjmYOwNo0NcC9gFQkQVIcO,,,,"{""isCatalog"": false}",,,Unidad,,,
152,Par de guante de cuero para trabajos de electricidad,65.0,0.0,,13QCHa2a2F1f_mBBh3LWd4j99LTLmrxiO,,,,"{""isCatalog"": false}",,,Unidad,,,
153,Cable telefónico de 4 hilos de 100M,150.0,0.0,,13qZzevnHlh5FoqxHFroVrDbQHIn2qAjc,,,,"{""isCatalog"": false}",,,Unidad,,,
154,Soquets con fotocelula ARGO,110.0,0.0,,13SfT8fQXoPKS50Y2jpi_VN-OsZYSNxdx,,,,"{""isCatalog"": false}",,,Unidad,,,
155,Rodillo,42.0,0.0,,13u9o2WaxnT-6UC939N-ImpniI8ZwXgFT,,,,"{""isCatalog"": false}",,,Unidad,,,
156,Cable LAN (METRO),3.0,0.0,,13UaxtTxZqWYWB7g0dzYOrh6-M2Dhshv2,,,,"{""isCatalog"": false}",,,Unidad,,,
157,Tubo LED 1.20m luz blanca,75.0,0.0,,13uGvJJYVwiE83t82RMiS6uwuGCrgjYBw,,,,"{""isCatalog"": false}",,,Unidad,,,
158,Volandas de 5/16,0.6,0.0,,13vilYKb53tt4njfQG2TE-DPIacJdkiBA,,,,"{""isCatalog"": false}",,,Unidad,,,
159,"Tubo LED 1.2Metros, 20W",20.0,0.0,,13vJFoH7b_mjgeTs2KL89p0RVE98kwDn3,,,,"{""isCatalog"": false}",,,Unidad,,,
160,Rollo Cable de 7 hilos N° 12 Marca Tigre-Plasmar,435.0,0.0,,13x7TAncAlVv_f-ERWBNKek2gBaCnmGYC,,,,"{""isCatalog"": false}",,,Unidad,,,
